FAST School of Computing TIME TABLE Spring 2022 <V2.6>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Color Codes,,,,,BDS-2021,,, BDS-2020,,,BSE-2021,,,BSE-2020,,,BCS-2021,,,BCS-2020,,,BCS-2019,,,BCS-2018 ,,, BCS-2017,,,MDS-2021 ,,, MDS-2020,,,MSP-2021 ,,,MSP-2020 ,,,MCS-2021 ,,,MCS-2020 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E&M-1,,,,Natural Language Processing (MCS-2A),,,,,,,,,Object Oriented Programming (BSE-2C),,,,,,,,,Research Methodology (MCS-2A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E&M-2,,,,Artificial Intelligence (BCS-6H),,,,,,,,,Artificial Intelligence (BCS-6G),,,,,,,,,Probability & Statistics (BCS-4F),,,,,,,,,Design & Analysis of Algo (BCS-6A),,,,,,,,,,,,,,,,,,Differential Equations (BDS-2A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E&M-3,,,,Islamic Studies/Ethics (BCS-2M),,,,,,,,,Data Structures (BCS-4G),,,,,,,,,Compiler Construction (BCS-8A),,,,,,,,,Probability & Statistics (BCS-4E),,,,,,,,,Probability & Statistics (BCS-4D),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E&M-4,,,,,,,,,,,,,,,,,,,,,,Artificial Intelligence (BCS-6F),,,,,,,,,,,,,,,,,,Pakistan Studies (BCS-2E),,,,,,,,,Pakistan Studies (BCS-2D),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E&M-5,,,,Islamic Studies/Ethics (BDS-2D),,,,,,,,,Islamic Studies/Ethics (BCS-2N),,,,,,,,,Probability & Statistics (BCS-4A),,,,,,,,,Probability & Statistics (BCS-4B),,,,,,,,,Compiler Construction (BCS-6A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E&M-11,,,,Finance and Accounting (BCS-4A),,,,,,,,,Discrete Structures (BSE-4B),,,,,,,,,Differential Equations (BCS-2H),,,,,,,,,Theory of Automata (BCS-6A),,,,,,,,,Theory of Automata (BCS-6B),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CE-1,,,,,,,,,,,,,,,,,,,,,,Differential Equations (BCS-2J),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CE-2,,,,,,,,,,,,,,,,,,,,,,Pakistan Studies (BCS-2C),,,,,,,,,,,,,,,,,,Differential Equations (BDS-2B),,,,,,,,,Differential Equations (BDS-2C),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CE-3,,,,,,,,,,,,,Mass Communication (BCS-8A),,,,,,,,,Computer Architecture (BCS-8A),,,,,,,,,Reserved for Math Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-1,,,,,,,,,,,,,Differential Equations (BCS-2B),,,,,,,,,Communication & Presentation Skills (BSE-2C2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-8,,,,Parallel & Dist Computing (BCS-6E),,,,,,,,,Operating Systems (BCS-6A),,,,,,,,,Communication & Presentation Skills (BSE-2C1),,,,,,,,,,,,,,,,,,Communication & Presentation Skills (BCS-2B),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E&M-16,,,,,,,,,,,,,,,,,,,,,,Communication & Presentation Skills (BCS-2A),,,,,,,,,,,,,,,,,,Pakistan Studies (BSE-2A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,English Lab-1,,,,Com & Pres Skills Lab (BCS-2B1),,,,,,,,,Com & Pres Skills Lab (BCS-2H1),,,,,,,,,Com & Pres Skills Lab (BCS-2N1),,,,,,,,,,,,,,,,,,Com & Pres Skills Lab (BCS-2D1),,,,,,,,,Com & Pres Skills Lab (BCS-2M1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,English Lab-2,,,,Com & Pres Skills Lab (BCS-2B2),,,,,,,,,Com & Pres Skills Lab (BCS-2H2),,,,,,,,,Com & Pres Skills Lab (BCS-2N2),,,,,,,,,,,,,,,,,,Com & Pres Skills Lab (BCS-2D2),,,,,,,,,Com & Pres Skills Lab (BCS-2M2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
